date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-18,157.9523,160.0315,157.3878,159.8057,2876387,2876387,1.5429,0.975,159.1648,"Jun 18, 14",0.05721317169177846
2014-06-19,159.9374,160.0879,158.9307,159.6834,2306899,2306899,-0.122305,-0.077,159.5806,"Jun 19, 14",0.05640408183517197
2014-06-20,160.2384,160.9535,159.3918,159.7869,4688187,4688187,0.10349,0.065,160.4523,"Jun 20, 14",0.057088798107933804
2014-06-23,160.1067,160.5207,159.1941,160.1632,1747482,1747482,0.376323,0.236,159.9993,"Jun 23, 14",0.05957825446967561
2014-06-24,159.514,160.4548,158.0087,158.2722,1608028,1608028,-1.891,-1.181,159.0932,"Jun 24, 14",0.047068124307427676
2014-06-25,157.8864,159.0154,157.4913,158.4133,1601762,1601762,0.141119,0.089,158.4925,"Jun 25, 14",0.04800158774787883
2014-06-26,157.115,158.1593,156.5223,158.0652,2131196,2131196,-0.3481,-0.22,157.5676,"Jun 26, 14",0.04569869176190401
2014-06-27,157.3502,157.7265,156.5223,156.908,3111220,3111220,-1.1572,-0.732,171.23,"Jun 27, 14",0.03804310073929503
2014-06-30,156.9927,157.9711,156.5223,157.5289,1888923,1888923,0.620932,0.396,157.6984,"Jun 30, 14",0.04215073681425
2014-07-01,156.5034,158.3098,156.2306,156.9362,2947811,2947811,-0.592707,-0.376,157.1032,"Jul 1, 14",0.0382296611150622
2014-07-02,157.115,157.8798,156.7104,157.0115,1877603,1877603,0.075266,0.048,157.1623,"Jul 2, 14",0.03872781701205705
2014-07-03,157.8958,159.8433,157.7923,159.4293,1801184,1801184,2.4179,1.54,159.2047,"Jul 3, 14",0.054723053768420446
2014-07-07,158.9684,158.9684,157.0209,157.8488,1774012,1774012,-1.5806,-0.991,157.6849,"Jul 7, 14",0.044267072424458015
2014-07-08,156.8704,156.908,154.0385,155.1487,2429360,2429360,-2.7001,-1.711,155.1264,"Jul 8, 14",0.02640424722557592
2014-07-09,155.4591,155.5437,153.9444,154.9229,1943880,1943880,-0.225795,-0.146,154.7783,"Jul 9, 14",0.024910441096207596
2014-07-10,152.6179,154.0856,151.9687,153.7469,2204137,2204137,-1.176,-0.759,153.2508,"Jul 10, 14",0.017130476489754142
2014-07-11,153.3705,155.3651,152.7719,155.0452,2293327,2293327,1.2983,0.844,154.6944,"Jul 11, 14",0.025719530952814085
2014-07-14,157.2843,157.7923,156.6069,157.115,3007711,3007711,2.0698,1.335,157.0861,"Jul 14, 14",0.03941253328481888
2014-07-15,159.6551,160.0778,157.2561,159.1565,4831795,4831795,2.0416,1.299,158.8263,"Jul 15, 14",0.05291831367944029
2014-07-16,159.1847,160.8688,158.9966,160.3796,3305227,3305227,1.2231,0.768,160.38,"Jul 16, 14",0.06100987380712179
2014-07-17,160.135,161.4427,158.9213,160.0691,3815487,3815487,-0.310468,-0.194,160.3718,"Jul 17, 14",0.058955724988836104
2014-07-18,160.3231,161.6214,159.6043,161.3204,2564222,2564222,1.2513,0.782,160.8562,"Jul 18, 14",0.06723384549228459
2014-07-21,160.0973,161.9131,159.9844,161.5556,2235585,2235585,0.235203,0.146,161.092,"Jul 21, 14",0.06878983841357524
2014-07-22,162.1765,164.9989,162.1765,164.6602,3850689,3850689,3.1047,1.922,164.1906,"Jul 22, 14",0.08932868034996612
2014-07-23,164.839,166.73,164.2886,166.3537,3445183,3445183,1.6935,1.028,166.0587,"Jul 23, 14",0.10053222632022893
2014-07-24,166.3349,166.8241,165.2153,165.8268,2012767,2012767,-0.526853,-0.317,165.9957,"Jul 24, 14",0.09704645816449725
2014-07-25,170.3237,171.8242,169.3328,169.4932,2367997,2367997,3.6664,2.211,170.2968,"Jul 25, 14",0.12130195326067184
2014-07-28,164.6414,166.0149,164.331,165.5352,2303365,2303365,-3.958,-2.335,165.2573,"Jul 28, 14",0.09511734449167263
2014-07-29,165.7422,166.6264,165.0648,165.1495,3064960,3064960,-0.385733,-0.233,165.7218,"Jul 29, 14",0.0925657013380083
2014-07-30,165.5446,166.9746,164.9801,165.3564,2354131,2354131,0.206979,0.125,165.6199,"Jul 30, 14",0.09393447232191594
2014-07-31,164.1146,164.8954,162.5622,162.6375,3797945,3797945,-2.7189,-1.644,163.6505,"Jul 31, 14",0.07594727353918919
2014-08-01,162.1765,162.534,159.3729,160.1726,3140151,3140151,-2.4649,-1.516,160.674,"Aug 1, 14",0.05964044126159793
2014-08-04,160.4736,161.7155,159.9844,161.5274,2103904,2103904,1.3548,0.846,160.951,"Aug 4, 14",0.06860327803780826
2014-08-05,161.1604,161.6026,158.8931,159.3917,2746184,2746184,-2.1356,-1.322,159.8554,"Aug 5, 14",0.05447430660073094
2014-08-06,158.1969,160.7371,158.0746,159.6928,1720708,1720708,0.301057,0.189,159.8544,"Aug 6, 14",0.0564662686270943
2014-08-07,160.2196,160.9441,158.752,159.0907,1928415,1928415,-0.602118,-0.377,159.5068,"Aug 7, 14",0.05248300613598399
2014-08-08,159.3259,162.28,158.6955,162.0636,2260041,2260041,2.973,1.869,160.7242,"Aug 8, 14",0.07215057142384605
2014-08-11,162.5246,163.1454,161.4615,162.2518,2098048,2098048,0.188161,0.116,162.2507,"Aug 11, 14",0.07339563038552506
2014-08-12,161.612,162.8633,161.2357,162.1295,1362909,1362909,-0.122305,-0.075,162.0199,"Aug 12, 14",0.07258654052891857
2014-08-13,162.1953,162.6563,161.1322,162.1671,1708159,1708159,0.037634,0.023,162.0158,"Aug 13, 14",0.07283528769660788
2014-08-14,162.5717,162.8539,161.5274,162.5058,1431363,1431363,0.338689,0.209,162.1559,"Aug 14, 14",0.07507599689066037
2014-08-15,162.6093,164.2651,161.2922,161.7249,2445958,2445958,-0.78087,-0.481,162.5394,"Aug 15, 14",0.06990986222979338
2014-08-18,162.995,164.2933,162.4776,164.2181,1877745,1877745,2.4931,1.542,163.7999,"Aug 18, 14",0.08640391644476783
2014-08-19,164.5568,164.7355,163.3525,163.663,1922140,1922140,-0.555075,-0.338,164.0124,"Aug 19, 14",0.08273158791326936
2014-08-20,163.0138,163.87,162.3836,163.7288,1755660,1755660,0.065855,0.04,163.3516,"Aug 20, 14",0.08316689545672565
2014-08-21,163.9264,165.507,163.1738,164.7825,2080344,2080344,1.0537,0.644,164.3439,"Aug 21, 14",0.09013777020657261
2014-08-22,164.9707,166.5042,164.4815,165.0836,2681967,2681967,0.30106,0.183,165.4767,"Aug 22, 14",0.09212973223293579
2014-08-25,166.2502,169.2138,166.015,167.3415,3065874,3065874,2.2579,1.368,167.9179,"Aug 25, 14",0.10706713196500338
2014-08-26,167.906,168.5458,167.2851,167.3698,3119840,3119840,0.028223,0.017,167.7778,"Aug 26, 14",0.10725435390238658
2014-08-27,168.323,168.323,167.049,167.8039,2075949,2075949,0.434176,0.259,167.6508,"Aug 27, 14",0.1101261928782892
2014-08-28,167.0867,167.7473,165.992,167.653,1961831,1961831,-0.150996,-0.09,167.0848,"Aug 28, 14",0.10912789639945086
2014-08-29,168.2852,169.3988,167.8436,169.0308,2567634,2567634,1.3778,0.822,168.757,"Aug 29, 14",0.11824289234738601
2014-09-02,169.1723,170.0774,168.3419,169.6537,1986308,1986308,0.622859,0.368,169.3877,"Sep 2, 14",0.12236375965466476
2014-09-03,170.3237,171.8242,169.3328,169.4932,2397714,2397714,-0.160435,-0.095,170.2968,"Sep 3, 14",0.12130195326067184
2014-09-04,169.8047,171.3805,169.446,169.9462,1678491,1678491,0.452988,0.267,170.3083,"Sep 4, 14",0.12429882738203533
2014-09-05,169.4743,169.7811,167.87,169.6348,2562817,2562817,-0.311426,-0.183,168.9448,"Sep 5, 14",0.12223872450920407
2014-09-08,169.4743,170.7389,169.1346,169.9745,1746425,1746425,0.339739,0.2,170.1027,"Sep 8, 14",0.12448604931941853
2014-09-09,167.9172,168.5872,166.6809,167.417,2603770,2603770,-2.5575,-1.505,167.5735,"Sep 9, 14",0.10756661098523065
2014-09-10,168.2947,170.0406,168.0965,169.748,2459494,2459494,2.331,1.392,169.2802,"Sep 10, 14",0.1229876122587367
2014-09-11,168.7099,171.2297,168.4551,170.8144,1907281,1907281,1.0664,0.628,170.5226,"Sep 11, 14",0.13004250533384057
